Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
W113126092431802,1,A&N Islands,South Andaman,PORT BLAIR,Kodiaghat,11.545,92.74583,2021,8,349,0,183,25,1,1,,175,34,22,10,0,1,,206,5
W113616092411001,2,A&N Islands,South Andaman,PORT BLAIR,Sippighat,11.6025,92.73,2021,8,660,0,262,82,5,1,,250,52,29,51,1,0,,381,6
W113640092443301,3,A&N Islands,South Andaman,PORT BLAIR,Brichganj,11.62083,92.73028,2021,7.50,270,0,116,35,1,0,,125,4,28,10,1,0,,151,BDL
W114421092422801,4,A&N Islands,South Andaman,FERRARGUNJ,Wimberleyganj,11.7325,92.70861,2021,7.60,311,0,159,39,2,0,,135,26,17,15,2,0,,198,0
W113955092391801,5,A&N Islands,South Andaman,FERRARGUNJ,Ograbraj,11.66361,92.65806,2021,8,2501,0,512,560,56,5,,465,56,79,336,18,1,,1424,BDL
W113137092432201,6,A&N Islands,South Andaman,PORT BLAIR,Burmanala,11.55778,92.72917,2021,8,264,0,153,35,1,1,,130,26,16,15,0,1,,188,3
W113227092433001,7,A&N Islands,South Andaman,PORT BLAIR,Calicut,11.6075,92.72556,2021,8,535,0,323,28,1,1,,245,38,36,19,0,0,,321,0
W114348092404801,8,A&N Islands,South Andaman,FERRARGUNJ,Saitankhari,11.71167,92.67111,2021,8,440,0,226,39,1,1,,190,36,24,22,2,1,,264,1
W123020092544201,9,A&N Islands,N&M Andaman,MAYABUNDER,Rangat,12.50611,92.90861,2021,8,592,0,317,35,1,0,,265,34,44,15,2,0,,325,2
W123014092513301,10,A&N Islands,N&M Andaman,MAYABUNDER,Bakultala,12.50417,92.85833,2021,8,456,0,226,21,5,2,,205,38,27,14,7,0.60,,251,0
W123129092581301,11,A&N Islands,N&M Andaman,MAYABUNDER,Nimbutala,12.49444,92.95417,2021,8,531,0,323,25,2,1,,245,36,38,14,1,1,,314,1
W123030092573801,12,A&N Islands,N&M Andaman,MAYABUNDER,Padmanavapuram,12.60667,92.94917,2021,7,506,0,275,32,0,0,,215,32,33,14,1,1,,280,BDL
W124940092512801,13,A&N Islands,N&M Andaman,MAYABUNDER,Rest Camp,12.83278,92.85917,2021,8,431,0,220,25,1,1,,195,20,35,18,1,0.40,,234,1
W113427092395101,14,A&N Islands,South Andaman,PORT BLAIR,Gupta Para,11.55972,92.65861,2021,7,147,0,49,25,0,0,,50,16,2,9,1,0,,84,1
W121001092455601,15,A&N Islands,N&M Andaman,RONGET,Baratang (Nilambur),12.16833,92.76694,2021,8,548,0,293,28,1,1,,200,26,33,35,1,0,,303,1
W121858092472001,16,A&N Islands,N&M Andaman,RONGET,Uttara,12.16139,92.79,2021,8,253,0,122,28,1,1,,110,22,13,11,2,0,,153,1
W122041092464401,17,A&N Islands,N&M Andaman,RONGET,Kadamtala,12.34917,92.77417,2021,7.90,626,0,342,28,1,1,,240,26,43,48,1,0,,356,0
W122009092455601,18,A&N Islands,N&M Andaman,RONGET,Porlobjig-15,12.49556,92.78111,2021,7.70,349,0,189,25,1,1,,150,22,23,16,3,0.70,,206,0
W122724092462501,19,A&N Islands,N&M Andaman,RONGET,Tikadera,12.52278,92.81389,2021,7,186,0,92,21,0,1,,80,22,6,9,2,0,,117,0
