,Unnamed: 0,Well ID,S.No,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb),Water Hardness Score,Water Quality,STATE_A&N Islands,STATE_Andhra Pradesh,STATE_Arunachal Pradesh,STATE_Assam,STATE_Bihar,STATE_Chandigarh,STATE_Chhattisgarh,STATE_Delhi,STATE_Gujarat,STATE_Haryana,STATE_Himanchal Pradesh,STATE_Jammu & Kashmir,STATE_Jharkhand,STATE_Madhya Pradesh,STATE_Maharashtra,STATE_Meghalaya,STATE_Odisha,STATE_Punjab,STATE_RAJASTHAN,STATE_TAMIL NADU,STATE_Telangana,STATE_Tripura,STATE_Uttar Pradesh,STATE_Uttrakhand,STATE_West Bengal
0,0,W113640092443301,3,South Andaman,PORT BLAIR,Brichganj,1.1584162207878076e-05,8.768347286247065e-07,0.625,0.0072522159548751,0.0,0.060574412532637,0.0038567493112947,0.0001785714285714,0.0,0.0037919363108518,0.0229189585625229,0.0039447731755424,0.0440034512510785,0.001478633742422,0.0011862396204033,0.0,0.0894021818882356,0.0080934739241949,0.6232155163926358,0.1902760830682778,Moderate,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,W113955092391801,5,South Andaman,FERRARGUNJ,Ograbraj,1.173042023447319e-05,8.758553944064345e-07,0.75,0.0671770077894171,0.0,0.2673629242819843,0.0617079889807162,0.01,0.0028571428571428,0.0037919363108518,0.0852585258525852,0.0552268244575936,0.088006902502157,0.0496820937453792,0.0213523131672597,0.0448430493273542,0.0894021818882356,0.0806497577657452,0.6232155163926358,0.4988953614028276,Unsafe,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2,W123020092544201,9,N&M Andaman,MAYABUNDER,Rangat,1.4610793946637378e-05,8.792529600169034e-07,0.75,0.0159011549825409,0.0,0.1655352480417754,0.0038567493112947,0.0001785714285714,0.0,0.0037919363108518,0.0485881921525485,0.0335305719921104,0.0578084555651423,0.002217950613633,0.0023724792408066,0.0,0.0894021818882356,0.0180108292960957,0.3571428571428572,0.3208410977973594,Moderate,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,3,W123030092573801,12,N&M Andaman,MAYABUNDER,Padmanavapuram,1.4954592617848331e-05,8.798029710373011e-07,0.5,0.0135911899006177,0.0,0.1436031331592689,0.003526170798898,0.0,0.0,0.0037919363108518,0.0394206087275394,0.0315581854043392,0.0483175150992234,0.0020700872393908,0.0011862396204033,0.0448430493273542,0.0894021818882356,0.0154459960102593,0.6232155163926358,0.2769972754176639,Moderate,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4,W125604092513601,20,N&M Andaman,MAYABUNDER,Mohanpur,1.6142639935328516e-05,8.782623706421488e-07,0.75,0.0155519742143432,0.0,0.1242819843342036,0.0066115702479338,0.0010714285714285,0.0045714285714285,0.0037919363108518,0.0357535753575357,0.0355029585798816,0.0422778257118205,0.00739316871211,0.0083036773428232,0.0,0.0894021818882356,0.0187517811342262,0.6232155163926358,0.262096481868168,Moderate,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,5,W251045079470001,21,N&M Andaman,KABRAI,Srinagar,1.6776048644708528e-05,8.787030846008008e-07,0.5,0.0103948428686543,0.0,0.1018276762402088,0.0023140495867768,0.0003571428571428,0.0005714285714285,0.0037919363108518,0.021085441877521,0.0315581854043392,0.0276100086281277,0.0065059884666568,0.0035587188612099,0.0,0.0894021818882356,0.0126531775434596,0.6232155163926358,0.1920964988861715,Safe,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,6,W113938092443601,27,South Andaman,PORT BLAIR,Marina Park,1.175797609455633e-05,8.77056984064162e-07,0.75,0.0101531023368251,0.0,0.1148825065274151,0.0027548209366391,0.0001785714285714,0.0,0.0037919363108518,0.0357535753575357,0.0414201183431952,0.0388265746333045,0.0016264971166642,0.0023724792408066,0.0,0.0894021818882356,0.0129951553149045,0.3571428571428572,0.2627392518545364,Moderate,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,7,W122205092551201,30,Long Island,RONGET,Long Island,1.4126446713637616e-05,8.794525695390992e-07,0.5,0.0143164114961052,0.0,0.1592689295039164,0.0027548209366391,0.0008928571428571,0.0011428571428571,0.0037919363108518,0.0467546754675467,0.0729783037475345,0.0345125107851596,0.0010350436196954,0.0011862396204033,0.0448430493273542,0.0894021818882356,0.0175548589341692,0.3571428571428572,0.3239470535879906,Moderate,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,8,W114955093010201,38,Neil Island,PORT BLAIR,Laxmanpur,1.2305913773901789e-05,8.807219613443117e-07,0.75,0.0255976363147998,0.0,0.216710182767624,0.008595041322314,0.0042857142857142,0.0011428571428571,0.0037919363108518,0.054088742207554,0.0433925049309664,0.0586712683347713,0.008871802454532,0.0059311981020166,0.0,0.0894021818882356,0.0286121402108862,0.3571428571428572,0.3490334624999783,Moderate,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,9,W114730092363001,47,South Andaman,FERRARGUNJ,Mile Tilak,1.217866450438636e-05,8.758214933326918e-07,0.75,0.0105022831050228,0.0,0.0798955613577023,0.0023140495867768,0.0082142857142857,0.0005714285714285,0.0037919363108518,0.0247524752475247,0.0374753451676528,0.0284728213977566,0.0042880378530238,0.0071174377224199,0.0,0.0894021818882356,0.014648047876888,0.3571428571428572,0.210426930649934,Moderate,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
