Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
W113640092443301,3,A&N Islands,South Andaman,PORT BLAIR,Brichganj,1.1584162207878076e-05,8.768347286247065e-07,0.625,0.007252215954875101,0.0,0.060574412532637074,0.003856749311294766,0.00017857142857142857,0.0,0.003791936310851822,0.02291895856252292,0.0039447731755424065,0.04400345125107852,0.001478633742422002,0.0011862396204033216,0.0,0.08940218188823561,0.008093473924194928,0.6232155163926358
W113955092391801,5,A&N Islands,South Andaman,FERRARGUNJ,Ograbraj,1.173042023447319e-05,8.758553944064345e-07,0.75,0.06717700778941714,0.0,0.2673629242819843,0.06170798898071626,0.01,0.0028571428571428576,0.003791936310851822,0.08525852585258525,0.05522682445759369,0.08800690250215704,0.04968209374537927,0.021352313167259787,0.04484304932735426,0.08940218188823561,0.08064975776574523,0.6232155163926358
W123020092544201,9,A&N Islands,N&M Andaman,MAYABUNDER,Rangat,1.4610793946637378e-05,8.792529600169034e-07,0.75,0.015901154982540962,0.0,0.16553524804177544,0.003856749311294766,0.00017857142857142857,0.0,0.003791936310851822,0.04858819215254859,0.03353057199211046,0.057808455565142365,0.0022179506136330027,0.002372479240806643,0.0,0.08940218188823561,0.018010829296095755,0.3571428571428572
W123030092573801,12,A&N Islands,N&M Andaman,MAYABUNDER,Padmanavapuram,1.4954592617848331e-05,8.798029710373011e-07,0.5,0.013591189900617782,0.0,0.14360313315926893,0.0035261707988980717,0.0,0.0,0.003791936310851822,0.03942060872753942,0.03155818540433925,0.04831751509922347,0.0020700872393908027,0.0011862396204033216,0.04484304932735426,0.08940218188823561,0.015445996010259333,0.6232155163926358
W125604092513601,20,A&N Islands,N&M Andaman,MAYABUNDER,Mohanpur,1.6142639935328516e-05,8.782623706421488e-07,0.75,0.015551974214343272,0.0,0.12428198433420365,0.006611570247933884,0.0010714285714285715,0.004571428571428572,0.003791936310851822,0.035753575357535754,0.03550295857988166,0.04227782571182054,0.00739316871211001,0.008303677342823251,0.0,0.08940218188823561,0.018751781134226278,0.6232155163926358
W251045079470001,21,A&N Islands,N&M Andaman,KABRAI,Srinagar,1.6776048644708528e-05,8.787030846008008e-07,0.5,0.010394842868654311,0.0,0.10182767624020887,0.0023140495867768596,0.00035714285714285714,0.0005714285714285715,0.003791936310851822,0.021085441877521087,0.03155818540433925,0.0276100086281277,0.0065059884666568086,0.0035587188612099647,0.0,0.08940218188823561,0.012653177543459675,0.6232155163926358
W113938092443601,27,A&N Islands,South Andaman,PORT BLAIR,Marina Park,1.175797609455633e-05,8.77056984064162e-07,0.75,0.010153102336825141,0.0,0.11488250652741513,0.0027548209366391185,0.00017857142857142857,0.0,0.003791936310851822,0.035753575357535754,0.04142011834319527,0.03882657463330458,0.0016264971166642021,0.002372479240806643,0.0,0.08940218188823561,0.01299515531490453,0.3571428571428572
W122205092551201,30,A&N Islands,Long Island,RONGET,Long Island,1.4126446713637615e-05,8.794525695390992e-07,0.5,0.014316411496105292,0.0,0.15926892950391644,0.0027548209366391185,0.0008928571428571428,0.001142857142857143,0.003791936310851822,0.046754675467546754,0.07297830374753451,0.03451251078515962,0.0010350436196954014,0.0011862396204033216,0.04484304932735426,0.08940218188823561,0.01755485893416928,0.3571428571428572
W114955093010201,38,A&N Islands,Neil Island,PORT BLAIR,Laxmanpur,1.2305913773901789e-05,8.807219613443117e-07,0.75,0.025597636314799894,0.0,0.21671018276762402,0.00859504132231405,0.004285714285714286,0.001142857142857143,0.003791936310851822,0.05408874220755409,0.04339250493096647,0.05867126833477136,0.00887180245453201,0.005931198102016607,0.0,0.08940218188823561,0.028612140210886296,0.3571428571428572
W114730092363001,47,A&N Islands,South Andaman,FERRARGUNJ,Mile Tilak,1.2178664504386359e-05,8.758214933326918e-07,0.75,0.010502283105022832,0.0,0.07989556135770234,0.0023140495867768596,0.008214285714285714,0.0005714285714285715,0.003791936310851822,0.024752475247524754,0.037475345167652864,0.02847282139775669,0.004288037853023806,0.007117437722419929,0.0,0.08940218188823561,0.014648047876888002,0.3571428571428572
W113551092375801,51,A&N Islands,South Andaman,PORT BLAIR,Mamyo,1.1504400642649841e-05,8.755125867487505e-07,0.75,0.0045393499865699705,0.0,0.03498694516971279,0.0027548209366391185,0.0,0.0,0.003791936310851822,0.011001100110011002,0.015779092702169626,0.024158757549611738,0.0019222238651486025,0.0,0.04484304932735426,0.08940218188823561,0.0058706184098033624,0.6232155163926358
W114317092435901,53,A&N Islands,South Andaman,FERRARGUNJ,Mount Harriyat,1.192796087908903e-05,8.76872426618708e-07,0.5,0.00542573193661026,0.0,0.03498694516971279,0.0023140495867768596,0.0030357142857142857,0.0005714285714285715,0.003791936310851822,0.018335166850018333,0.021696252465483234,0.02933563416738568,0.0004435901227266006,0.0011862396204033216,0.0,0.08940218188823561,0.006383585066970647,0.3571428571428572
W175430082071501,68,Andhra Pradesh,Visakhapatnam,GUDEM KOTHAVEEDI,Dharakonda,3.308002369633026e-05,7.329656230850505e-07,0.5,0.0110126242277733,0.0,0.08929503916449086,0.0027548209366391185,0.0014285714285714286,0.02342857142857143,0.003791936310851822,0.033003300330033,0.037475345167652864,0.03796376186367559,0.0019222238651486025,0.002372479240806643,0.0,0.08940218188823561,0.04528821556036565,0.6232155163926358
W175300083260001,69,Andhra Pradesh,Visakhapatnam,BHEEMUNIPATNAM,Bhimunipatnam-1,3.2994552666295706e-05,7.507636867998412e-07,0.5,0.0204136449100188,0.0,0.09869451697127937,0.009035812672176308,0.0035714285714285713,0.05542857142857143,0.003791936310851822,0.035753575357535754,0.04930966469428008,0.03451251078515962,0.010498299571196214,0.026097271648873075,0.0,0.08940218188823561,0.04528821556036565,0.6232155163926358
W175300083260002,70,Andhra Pradesh,Visakhapatnam,BHEEMUNIPATNAM,Bhimunipatnam-2,3.2994552666295706e-05,7.507636867998412e-07,0.5,0.0711791565941445,0.0,0.3629242819843342,0.032837465564738294,0.02857142857142857,0.10628571428571429,0.003791936310851822,0.14301430143014301,0.1814595660749507,0.08714408973252805,0.024249593375720833,0.16607354685646503,0.04484304932735426,0.08940218188823561,0.04528821556036565,0.6232155163926358
W172255082461501,71,Andhra Pradesh,Visakhapatnam,NAKKALLI,Gurrajupeta,3.1280345687922866e-05,7.417799022580896e-07,0.5,0.0738651625033575,0.0,0.36971279373368143,0.043746556473829204,0.025535714285714287,0.06857142857142857,0.003791936310851822,0.14301430143014301,0.19723865877712032,0.07851596203623815,0.04051456454236285,0.03084223013048636,0.04484304932735426,0.08940218188823561,0.04528821556036565,0.6232155163926358
W173030082400002,72,Andhra Pradesh,Visakhapatnam,KOTAURATLA,Purshotta Puram,3.171248721577751e-05,7.403682615474538e-07,0.75,0.037604082728982004,0.0,0.2866840731070496,0.01090909090909091,0.0125,0.03142857142857143,0.003791936310851822,0.05683901723505684,0.0631163708086785,0.050905953408110445,0.025876090492385033,0.013048635824436538,0.08968609865470852,0.08940218188823561,0.04528821556036565,0.6232155163926358
W174536082330201,73,Andhra Pradesh,Visakhapatnam,KOYYURU,Pata K.d.peta,3.226804891100206e-05,7.362431788944712e-07,0.75,0.030889067955949503,0.0,0.2485639686684073,0.007823691460055097,0.008035714285714285,0.030285714285714287,0.003791936310851822,0.07150715071507151,0.10256410256410257,0.04745470232959448,0.009167529203016412,0.027283511269276396,0.04484304932735426,0.08940218188823561,0.04528821556036565,0.6232155163926358
W172730082510001,74,Andhra Pradesh,Visakhapatnam,S.RAYAVARAM,Rayavaram,3.154154515570843e-05,7.428538882742508e-07,0.75,0.057480526457158204,0.0,0.3185378590078329,0.032837465564738294,0.014285714285714285,0.013142857142857144,0.003791936310851822,0.10634396773010635,0.05522682445759369,0.11216566005176877,0.03238207895904184,0.009489916963226572,0.04484304932735426,0.08940218188823561,0.04528821556036565,0.6232155163926358
W175904083282801,75,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Lawson's Bay,3.247249561484469e-05,7.495432481451128e-07,0.5,0.07359656191243621,0.0,0.4971279373368146,0.029641873278236915,0.024107142857142858,0.013714285714285715,0.003791936310851822,0.09900990099009901,0.05522682445759369,0.10353753235547887,0.049386366996894866,0.08066429418742586,0.04484304932735426,0.08940218188823561,0.04528821556036565,0.6232155163926358
W174929083162601,76,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Kancherapalem (Govt. Polytech,3.2484803443169684e-05,7.486848729579537e-07,0.75,0.030620467365028204,0.0,0.23550913838120105,0.00859504132231405,0.0125,0.013714285714285715,0.003791936310851822,0.058672533920058674,0.04733727810650888,0.06212251941328732,0.01730001478633742,0.0,0.04484304932735426,0.08940218188823561,0.04528821556036565,0.6232155163926358
W170640082154501,77,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Pithapuram,3.2420187344463556e-05,7.493886592488471e-07,0.5,0.018533440773569703,0.0,0.11174934725848563,0.007823691460055097,0.00625,0.010285714285714287,0.003791936310851822,0.03758709204253759,0.04142011834319527,0.04055220017256256,0.00887180245453201,0.0,0.0,0.08940218188823561,0.04528821556036565,0.6232155163926358
W175407083145101,78,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Gopalpatnam PZ,3.257882157620767e-05,7.478753153169837e-07,0.75,0.021488047273704004,0.0,0.14673629242819844,0.007823691460055097,0.0064285714285714285,0.009714285714285715,0.003791936310851822,0.04583791712504584,0.045364891518737675,0.04831751509922347,0.009463255951500812,0.002372479240806643,0.04484304932735426,0.08940218188823561,0.04528821556036565,0.6232155163926358
W180421083274601,79,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Anandapuram PZ,3.3023954700627593e-05,7.499202280851288e-07,0.5,0.009401020682245501,0.0,0.08616187989556136,0.0015426997245179064,0.0023214285714285715,0.0028571428571428576,0.003791936310851822,0.01925192519251925,0.027613412228796846,0.0276100086281277,0.0034008576075706043,0.018979833926453145,0.0,0.08940218188823561,0.04528821556036565,0.6232155163926358
W174914083182001,80,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Akkireddipalem PZ,3.239933241313513e-05,7.476976736905732e-07,0.5,0.020950846091861403,0.0,0.18798955613577023,0.003856749311294766,0.00625,0.0028571428571428576,0.003791936310851822,0.03758709204253759,0.03550295857988166,0.04400345125107852,0.012568386810587017,0.0011862396204033216,0.04484304932735426,0.08940218188823561,0.04528821556036565,0.6232155163926358
W175353082592001,81,Andhra Pradesh,Visakhapatnam,BUCHCHAYYAPETA,L.Singavaram,3.275728508691981e-05,7.424023259720012e-07,0.5,0.025517056137523503,0.0,0.2422976501305483,0.003856749311294766,0.005178571428571428,0.0017142857142857144,0.003791936310851822,0.05592225889255592,0.05325443786982249,0.055220017256255395,0.011533343190891615,0.0011862396204033216,0.04484304932735426,0.08940218188823561,0.04528821556036565,0.6232155163926358
W180441082255101,82,Andhra Pradesh,Visakhapatnam,PENDURTI,Bandavaripalem X road,3.241813603974273e-05,7.393363128627332e-07,0.75,0.043781896320171904,0.0,0.19112271540469974,0.015647382920110194,0.05017857142857143,0.017142857142857144,0.003791936310851822,0.10267693436010268,0.0631163708086785,0.10353753235547887,0.01449061067573562,0.03558718861209965,0.04484304932735426,0.08940218188823561,0.04528821556036565,0.6232155163926358
W175014082404101,83,Andhra Pradesh,Visakhapatnam,GOLUGONDA,Naganna Dorapalem,3.237266545176435e-05,7.378256810167694e-07,0.5,0.022831050228310504,0.0,0.2485639686684073,0.0012121212121212121,0.0032142857142857142,0.002285714285714286,0.003791936310851822,0.05042170883755042,0.05522682445759369,0.04831751509922347,0.010202572822711814,0.005931198102016607,0.04484304932735426,0.08940218188823561,0.04528821556036565,0.6232155163926358
W270611093414001,84,Arunachal Pradesh,PAPUMPARE,Doimukh,Naharlagun I,6.450498636707156e-05,8.898489440215515e-07,0.75,0.00986569970453935,0.0,0.05430809399477807,0.0035261707988980717,0.0026785714285714286,0.02285714285714286,0.003791936310851822,0.02841950861752842,0.015779092702169626,0.04391716997411562,0.0020700872393908027,0.007117437722419929,0.0,0.08940218188823561,0.010743801652892562,0.6232155163926358
W272730096063001,85,Arunachal Pradesh,Changlang,Miao circle,Namphai,6.568819260541058e-05,9.226466056158406e-07,0.75,0.0030808487778673115,0.0,0.0381201044386423,0.00044077134986225897,0.00035714285714285714,0.0028571428571428576,0.003791936310851822,0.013751375137513752,0.00591715976331361,0.03278688524590164,0.00019222238651486027,0.0,0.0,0.08940218188823561,0.002969506982046167,0.6232155163926358
